    cometNumberAndOrbitType year month day perihelionDistancePD eccentricityE orbitalPeriodAndPerihelionW longitudeL inclinationI epochDate magnitudeMag slopeParameter namePart1 namePart2 namePart3 reference
    PK07R040  2021 12  9.6771  1.948145  0.669612  282.9567   87.2189   20.2361  20190228  14.5  4.0  P/2007 R4 (Garradd)                                      MPC_75708
    PK07S010  2022 10  9.2844  2.509885  0.340621  245.9652  141.4452    5.9632  20190228  13.0  4.0  P/2007 S1 (Zhao)                                         MPC_73462
    CK07S020  2008 09  7.2530  5.588672  0.555127  210.6815  296.0859   16.8422  20190228   6.5  4.0  C/2007 S2 (Lemmon)                                       MPC_82314
    CK07T010  2007 12  9.6456  0.978054  0.999580  233.9490  111.6932  117.9289  20190228  10.5  4.0  C/2007 T1 (McNaught)                                     MPC_62270
    PK07T020  2018 07 23.4618  0.656083  0.784777  359.6429    3.3950    9.7339  20190228  18.5  4.0  P/2007 T2 (Kowalski)                                     MPC_61994
    PK07T040  2019 07 23.6700  2.004962  0.618030   42.4319   37.0593   23.8598  20190228  13.0  4.0  P/2007 T4 (Gibbs)                                        MPC_62879
    CK07T050  2008 05 20.7914  4.076299  0.912674   34.5930  109.8148   45.4891  20190228   8.0  4.0  C/2007 T5 (Gibbs)                                        MPC_65935
    CK07U010  2008 08  8.4034  3.307527  1.000095    1.1980   50.4588  157.7330  20190228   9.0  4.0  C/2007 U1 (LINEAR)                                       MPC_66921
    PK07V11Q  2020 09 18.2960  2.694701  0.502758  277.7300  163.8239   12.3227  20190228  12.0  4.0  P/2007 VQ11 (Catalina)                                   MPC_75708
    CK07V53O  2010 04 21.9772  4.860911  0.999936   75.1519   59.6985   86.8573  20190228   7.0  4.0  C/2007 VO53 (Spacewatch)                                 MPC_81468
    CK07W010  2008 06 27.3253  0.831663  0.999385  306.5043  334.2879    9.9080  20190228   9.5  4.0  C/2007 W1 (Boattini)                                     MPC_63599
    CK07W030  2008 06  1.7972  1.779332  0.999565  112.6621   72.6809   78.6155  20190228  12.0  4.0  C/2007 W3 (LINEAR)                                       MPC_63376
    CK07Y010  2008 03 19.8128  3.356005  0.999746  357.2753  133.1806  110.0391  20190228  10.5  4.0  C/2007 Y1 (LINEAR)                                       MPC_62271
    CK07Y020  2008 04 10.4609  4.200961  0.995521  257.6898  303.3563   98.3542  20190228   9.0  4.0  C/2007 Y2 (McNaught)                                     MPC_62271
    CK08A010  2008 09 28.7606  1.067378  0.999745  348.3583  277.6340   82.9529  20190228   6.5  4.0  C/2008 A1 (McNaught)                                     MPC_65935
    CK08C010  2008 04 15.6894  1.275853  0.999765  181.0291  307.8561   61.5438  20190228  10.0  4.0  C/2008 C1 (Chen-Gao)                                     MPC_62582
    PK08C94L  2021 09 27.8800  5.416043  0.120035   81.0140   33.3534    8.3523  20190228   8.0  4.0  P/2008 CL94 (Lemmon)                                     MPC_75708
    CK08E010  2008 08  3.8315  4.879893  0.548555  270.6815  188.8499   34.8316  20190228   7.0  4.0  C/2008 E1 (Catalina)                                     MPC112389
    CK08E030  2008 07 29.9337  5.535636  0.995809  218.0560  105.6481  105.2568  20190228   6.0  4.0  C/2008 E3 (Garradd)                                      MPC_68392
    CK08F75K  2010 10  2.1624  4.496276  1.001113   80.3545  218.2740   61.2838  20190228   5.0  4.0  C/2008 FK75 (Lemmon-Siding-Spring)                       MPC_88324
    CK08G010  2009 01 15.0318  3.980868  0.986471   63.6742  215.9172   73.0467  20190228   9.5  4.0  C/2008 G1 (Gibbs)                                        MPC_82314
    CK08H010  2008 03 10.9393  2.779715  0.945092   96.1569   34.4597   75.3899  20190228  10.5  4.0  C/2008 H1 (LINEAR)                                       MPC_63137
    CK08J010  2008 07 11.8784  1.719496  0.989062   67.9436  273.6789   62.0138  20190228  10.0  4.0  C/2008 J1 (Boattini)                                     MPC_65054
    CK08J050  2008 03 31.4891  1.950912  0.971414  313.1054  286.7875   93.3649  20190228  12.0  4.0  C/2008 J5 (Garradd)                                      MPC_63376
    CK08J060  2008 04 11.4739  1.984782  1.000920   10.5393  298.1090   45.1930  20190228  10.5  4.0  C/2008 J6 (Hill)                                         MPC_82314
    PK08L020  2023 05 12.7109  2.337132  0.612229  141.2103  218.0059   25.8395  20190228  12.5  4.0  P/2008 L2 (Hill)                                         MPC_75709
    CK08N010  2009 09 20.7589  2.806382  0.996754  100.9322  357.4835  115.4675  20190228   9.0  4.0  C/2008 N1 (Holmes)                                       MPC112389
    PK08O030  2008 05 21.1944  2.520106  0.693782  341.0946   47.6352   32.1921  20190228  13.0  4.0  P/2008 O3 (Boattini)                                     MPC_64114
    CK08P010  2009 07 20.0470  3.880191  0.998408   11.6606  357.7224   64.3418  20190228   7.0  4.0  C/2008 P1 (Garradd)                                      MPC103843
    CK08Q010  2008 12 24.4575  2.980550  0.994646  104.5229    9.2404  118.5599  20190228  10.0  4.0  C/2008 Q1 (Maticic)                                      MPC_65935
    CK08Q030  2009 06 19.9818  1.818264  0.998953  340.8019  219.5238  140.7960  20190228  10.0  4.0  C/2008 Q3 (Garradd)                                      MPC_80896
    PK08Q20P  2021 12 31.7855  1.783112  0.495868   75.6867  322.4925    7.5105  20190228  15.5  4.0  P/2008 QP20 (LINEAR-Hill)                                MPC_75709
    CK08R030  2008 11 19.6473  1.905381  0.895592   83.9187  270.8433   43.3215  20190228  13.0  4.0  C/2008 R3 (LINEAR)                                       MPC_64115
    CK08S030  2011 06  5.2369  7.998956  1.000440   39.9931   55.0849  162.6909  20190228   4.0  4.0  C/2008 S3 (Boattini)                                     MPC_95207
    CK08T020  2009 06 14.0706  1.208443  1.000186  216.0039  309.5902   56.0297  20190228   6.0  4.0  C/2008 T2 (Cardinal)                                     MPC_66921
    PK08W96Z  2021 08 22.2787  1.811772  0.478246  342.1495   56.8258    7.2174  20190228  13.5  4.0  P/2008 WZ96 (LINEAR)                                     MPC_66204
    CK08X030  2008 10  7.1521  1.924924  0.955862  140.9587  337.7769   66.4088  20190228  13.0  4.0  C/2008 X3 (LINEAR)                                       MPC_65057
