cometNumberAndOrbitType year month day perihelionDistancePD eccentricityE orbitalPeriodAndPerihelionW longitudeL inclinationI epochDate magnitudeMag slopeParameter namePart1 reference
0157P         2016 06 15.3234  1.321825  0.610164  150.4531  297.9548    7.4995  20190228  10.0  4.0  157P/Tritton                                             MPC104795
0158P         2023 05  3.5384  4.710706  0.018374  240.4953  136.6556    7.8654  20190228   9.0  4.0  158P/Kowal-LINEAR                                        MPC_10028
0159P         2018 05 22.5767  3.624958  0.381520    4.7259   55.0231   23.4620  20190228  10.0  4.0  159P/LONEOS                                              MPC_75721
0160P         2019 12  2.2906  1.787293  0.526517   12.5976  333.4044   15.6107  20190228  15.5  2.0  160P/LINEAR                                              MPC102101
0161P         2026 11 29.1114  1.278287  0.834566   46.9100    1.3467   95.6659  20190228   8.5  6.0  161P/Hartley-IRAS                                        MPC_75721
0162P         2020 12  7.4519  1.285113  0.583930  357.1031   31.0454   27.6357  20190228  12.0  4.0  162P/Siding-Spring                                       MPC105242
0163P         2019 08  5.2706  2.066548  0.451975  349.7124  102.0927   12.7075  20190228  14.5  4.0  163P/NEAT                                                MPC102101
0164P         2018 05 31.3771  1.685131  0.539654  325.9144   88.3065   16.2532  20190228  11.0  4.0  164P/Christensen                                         MPC106349
0165P         2000 05 29.5453  6.891383  0.615424  126.4058    0.6380   15.9027  20190228  11.5  2.0  165P/LINEAR                                              MPC_75721
0166P         2002 04 29.7172  8.582660  0.380490  321.6054   64.5383   15.3576  20190228   5.5  4.0  166P/NEAT                                                MPC_75722
0167P         2001 04 22.8139 11.743801  0.273265  343.7700  295.6872   19.1166  20190228   9.5  2.0  167P/CINEOS                                              MPC_75722
0168P         2019 08  5.1391  1.358930  0.620542   14.9875  355.4747   21.6112  20190228  15.5  4.0  168P/Hergenrother                                        MPC102101
0169P         2018 04 29.5788  0.603741  0.767966  218.0883  176.0855   11.2949  20190228  16.0  2.0  169P/NEAT                                                MPC_94676
0170P         2023 04 23.2040  2.925670  0.303112  225.7330  142.9163   10.1246  20190228  12.0  4.0  170P/Christensen                                         MPC_89012
0171P         2019 01 13.7106  1.772326  0.501948  347.1480  101.6959   21.9334  20190228  13.5  4.0  171P/Spahr                                               MPC102102
0172P         2017 03 13.5957  3.338501  0.206630  209.2397   30.8897   11.2367  20190228  13.0  4.0  172P/Yeung                                               MPC_93588
0173P         2021 12 19.1764  4.211821  0.260643   29.5289  100.4059   16.4966  20190228   7.5  4.0  173P/Mueller                                             MPC_75722
0174P         2015 04 21.5143  5.811305  0.456349  162.8007  173.3089    4.3436  20190228   9.4  2.0  174P/Echeclus                                            MPC_92985
0175P         2019 09 30.7554  1.946355  0.432252   56.1806  123.5335    6.0770  20190228  14.0  4.0  175P/Hergenrother                                        MPC102102
0176P         2017 03 11.4620  2.578329  0.192751   35.2602  345.8786    0.2347  20190228  15.1  2.0  176P/LINEAR                                              MPC_88331
0177P         2006 08 25.5906  1.102612  0.954721   60.2128  272.3470   31.3311  20190228  15.0  4.0  177P/Barnard                                             MPC_75723
